Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2/1/2022,71042.61719,72199.46447,70729.45151,71921.31574,12365
2/2/2022,70989.96094,72194.14151,70714.34226,71127.59177,8742
2/3/2022,70517.78906,71454.40659,69647.72854,69984.19219,10786
2/4/2022,69543.54688,70826.11224,69390.06836,70517.66513,11034
2/7/2022,68343.92188,69956.24546,68146.43938,69933.49842,12143
2/8/2022,68967.30469,69338.48256,68047.07816,68782.18528,11669
2/9/2022,69960.95313,70113.18986,69140.8103,69140.8103,5620
2/10/2022,69307.89844,70450.69059,69041.46864,70450.69059,14416
2/11/2022,67782.29688,69239.14701,67588.33786,69239.14701,15042
2/14/2022,65493.08594,67417.27874,65273.54716,67417.27874,18628
2/15/2022,66239.25781,66556.89362,64577.22272,66035.46582,14444
2/16/2022,65703.28906,66830.18701,65564.50964,66795.41843,12266
2/17/2022,65184.86719,66203.78044,65009.92204,66013.63887,7727
2/18/2022,65207.91797,65828.1618,64782.08048,64886.09217,19661
2/21/2022,64309.55469,65144.28701,64178.12657,65144.28701,10513
2/22/2022,65337.69922,65565.63779,62586.28535,62586.28535,26513
2/23/2022,65371.48047,66361.28916,65269.55267,65729.71402,11015
2/24/2022,63525.6875,65417.58025,62586.29546,63927.43036,43260
2/25/2022,65220.58984,65382.76783,63602.28307,63679.07625,19903
2/28/2022,65309.24609,65814.95016,64026.77039,64823.50382,13429
3/2/2022,65788.97656,66063.3116,64713.08834,65228.82767,18103
3/3/2022,65601.82031,66540.16466,65291.41896,66510.36166,13310
3/4/2022,65478.47656,65765.23729,64573.16391,65169.22388,18449
3/7/2022,65718.69531,66011.65725,63323.03086,64712.24646,29607
3/8/2022,65958.84375,66212.31666,65070.86201,65715.6001,8208
3/9/2022,65653.88281,66510.36991,65457.53224,66162.66821,6893
3/10/2022,66442.69531,67054.54924,66117.94357,66249.92271,9680
3/11/2022,67452.42969,67646.89426,65929.2015,66152.72399,7705
3/14/2022,67923.38281,68000.52137,66962.42996,67587.25304,6352
3/15/2022,67637.92188,68541.94639,67056.76326,67752.16673,9065
3/16/2022,67921.49219,68397.78918,67738.89447,68248.87506,7593
3/17/2022,68504.96094,69430.04899,68050.27124,68149.51366,14905
3/21/2022,66437.20313,69401.25922,66150.74504,69195.26924,12368
3/22/2022,66655.99219,66858.05495,65467.24846,66807.28896,9663
3/23/2022,66405.75,67281.85722,66173.68244,66664.33757,8261
3/24/2022,66280.625,66957.35484,66013.63981,66401.07878,7400
3/25/2022,66064.41406,66738.50518,65566.60304,66460.73965,5838
3/28/2022,65277.14844,66063.3033,64529.24463,66063.3033,9839
3/29/2022,64868.26563,66439.1825,64583.09982,65357.9778,9704
3/30/2022,64929.70703,65467.20878,64706.8326,65417.13353,7190
3/31/2022,64595.125,65367.91526,64276.57826,65064.91808,10386
4/1/2022,66048.625,66212.33973,64672.46743,64672.51787,7651
4/4/2022,66689.07031,66818.27096,66271.92926,66271.92926,6506
4/5/2022,67311.09375,67652.78814,66689.05722,66689.05722,7621
4/6/2022,67186.75,67509.8099,66761.85541,67344.85338,6216
4/7/2022,66668.57031,67746.34465,66460.69437,67305.11276,8501
4/8/2022,67337.72656,67681.5553,66270.57765,67046.79813,12652
4/11/2022,67320.64063,67553.45323,66859.09004,67056.73666,4286
4/12/2022,67141.875,67540.73839,66128.16965,67156.07799,13531
4/13/2022,67004.39063,67673.66974,66570.95878,67205.76266,8522
4/18/2022,66505.34375,67037.32727,65566.74334,66563.00945,11982
4/19/2022,65925.61719,67352.33474,65367.90533,66563.99892,17383
4/20/2022,67226.03906,67903.41323,66064.91712,66261.81098,9721
4/21/2022,69257,69639.67361,67414.38304,67558.43087,11532
4/22/2022,68689.80469,69167.79357,68149.52443,69167.79357,6278
4/25/2022,68662.03906,69042.62493,67787.27442,68099.85668,9387
4/26/2022,70863.07813,71068.12118,68770.41115,69043.60528,16723
4/27/2022,71744.71875,72123.16254,69739.02332,69853.26816,14670
4/28/2022,71855.72656,72170.93983,70786.09386,72170.93983,11877
4/29/2022,72251.41406,72918.00784,71329.80284,71855.03416,11934
5/2/2022,72120.75781,72371.59966,71307.13612,71527.18155,5432
5/4/2022,71406.34375,72829.23508,70831.79008,72321.93994,9510
5/5/2022,70714.71875,72371.61808,70312.23079,71715.95208,7309
5/6/2022,69454.49219,70366.71221,68795.24837,70186.05484,8667
5/9/2022,68127.65625,69396.27034,67876.51946,69143.93833,11683
5/10/2022,68358.19531,70474.06088,66758.72105,68040.25007,28293
5/11/2022,67663.4375,68819.98784,67371.81051,67901.16297,10262
5/12/2022,67177.99219,67752.10349,66242.13147,67543.52907,11473
5/13/2022,71577.75781,72799.38578,67245.49633,67245.49633,28470
5/16/2022,72052.13281,72759.06157,70931.24502,71308.64881,12665
5/17/2022,73520.76563,73812.08992,72123.25341,72321.94006,10590
5/18/2022,74197.20313,74358.44202,73326.35787,73717.72406,10398
5/19/2022,72952.53125,73762.42781,72521.62953,73017.35278,8680
5/20/2022,73618.3125,74189.53653,73492.98471,73712.73521,7777
5/23/2022,72904.29688,74653.4302,72586.49136,74010.77976,8044
5/24/2022,73906.95313,74109.01587,72632.82859,73017.28721,7073
5/25/2022,74332.89063,74932.67589,73091.44844,74074.59801,7765
5/26/2022,74568.04688,74805.52399,72918.00081,74507.49401,9279
5/27/2022,74164.625,75192.97606,73812.1036,74716.12801,7417
5/30/2022,74893,75297.77752,74370.55495,74408.15796,6081
5/31/2022,77139.53906,77652.34459,74743.37836,74904.85781,27991
6/1/2022,75830.25781,77060.62502,75500.93466,76693.05468,7322
6/2/2022,75374.5625,75500.78286,74537.69585,75005.308,5643
6/3/2022,75958.24219,76383.03572,75561.51314,75561.51314,10174
6/6/2022,74221.67969,76169.3599,74065.46231,75888.36575,8339
6/7/2022,71188.42969,74008.04147,70869.14181,73514.05681,12064
6/8/2022,70189.59375,71921.24907,69858.23714,71230.16868,10536
6/9/2022,69963.27344,70235.72247,69540.31928,69540.31928,5276
6/10/2022,69492.89844,70081.75606,69260.68339,69655.52658,6364
6/13/2022,68108.32813,68852.65786,67767.82894,68546.88226,5879
6/14/2022,67754.38281,69043.61081,67062.70491,67062.70491,6121
6/15/2022,67992.28125,69094.29394,67754.40049,67754.40049,7761
6/16/2022,66735.48438,68859.79439,66560.04247,68839.97229,7091
6/17/2022,67677.19531,68676.04596,65445.75003,66560.03297,17498
6/20/2022,66213.85156,68149.40846,66054.80914,67812.53375,6721
6/21/2022,67644.41406,67851.45178,66220.28078,66220.28078,5942
6/22/2022,67593.79688,67781.95158,66907.73031,67156.08863,4849
6/23/2022,68553.05469,68825.0536,67593.73969,67593.79402,7455
6/24/2022,70089.69531,70310.23749,68447.55017,68447.55017,12532
6/27/2022,70754.04688,71435.49544,70434.40976,70732.4397,8117
6/28/2022,71794.08594,72123.01327,70104.31013,70533.76826,10643
6/29/2022,71054.07813,71527.20075,70682.78241,71097.04412,6071
6/30/2022,70335.96875,71626.33768,69962.53873,71276.85096,6089
7/1/2022,71720.21875,72023.91441,69838.36115,69838.36115,5409
7/4/2022,71305.10938,72023.75738,71129.81499,71427.84494,4102
7/5/2022,70753.46094,71864.96534,70589.84713,71527.19802,3862
7/6/2022,72749.3125,73017.33766,71029.92805,71250.96693,7785
7/7/2022,74843.17969,75004.21678,72864.65631,73340.21595,12354
7/8/2022,75545.57813,75951.93885,74840.33372,74843.16655,10071
7/11/2022,75874.3125,75997.64569,74805.52576,75500.92905,8025
7/12/2022,76161.20313,76395.00917,75331.08883,75500.91933,7467
7/13/2022,76766.3125,77090.4201,76170.50091,76170.50091,7992
7/14/2022,76906.53125,77352.14037,76029.72554,76891.52886,6630
7/15/2022,79035.65625,79206.0766,77119.76607,77213.59894,14260
7/18/2022,80212.28125,80467.0503,79077.2838,79079.27067,15460
7/19/2022,79416.83594,80290.16463,78671.51267,79971.37346,8431
7/20/2022,79260.67188,80089.44352,78878.59591,79549.16332,7028
7/21/2022,79651.875,79890.29894,79032.57036,79107.07784,6751
7/22/2022,78879.20313,80207.81929,78616.63404,79762.76117,6537
7/25/2022,80303.22656,80665.73655,79009.52817,79077.28342,11727
7/26/2022,79623.85938,80434.05058,79306.55066,80298.19861,5871
7/27/2022,80478.53125,80584.07137,79269.38391,79766.99461,5546
7/28/2022,82649.63281,82901.92137,80622.86495,80622.86495,14509
7/29/2022,83417.59375,83568.71964,82157.79151,83080.06605,12547
8/1/2022,86534.84375,86982.34346,83596.95041,83598.59097,16248
8/2/2022,87751.78906,88524.92823,85887.59197,86514.58135,18522
8/3/2022,88314.88281,88524.92113,86799.95407,87752.62951,15400
8/4/2022,88287.85938,89072.19474,87317.37099,88563.69115,11181
8/5/2022,88470.65625,88723.98674,87436.12362,88574.70354,9228
8/8/2022,87298.33594,88475.18528,87081.87528,88077.14336,8338
8/10/2022,83067.74219,86818.03161,82215.23404,86390.18752,26092
8/11/2022,82106.46094,84193.73556,81708.66785,83597.59797,12363
8/12/2022,82733.59375,83935.17574,81878.39543,82598.39138,10606
8/16/2022,86555.82031,87174.6923,83001.53608,83100.95711,28904
8/17/2022,86438.55469,87505.12869,85968.21154,86584.25353,18111
8/18/2022,87172.97656,87567.58182,85396.25767,86429.95053,14967
8/19/2022,86410.98438,87939.59766,86023.89771,87568.52784,11885
8/22/2022,84422.88281,86461.79584,84106.15363,86394.12079,11433
8/23/2022,85484.96875,86365.24183,83399.52955,83528.9083,13741
8/24/2022,84857.04688,86285.43825,84394.81323,85389.94123,8432
8/25/2022,85036.67188,86086.6302,84771.74089,85189.93593,12922
8/26/2022,84864.75,86031.89565,84593.80103,85987.1107,6083
8/29/2022,84015.23438,84489.06078,83080.07627,84225.52929,5901
8/30/2022,84957.01563,85851.56403,84335.04899,84489.30829,14199
9/1/2022,84735.875,85572.00859,84096.19653,85035.6854,6632
9/2/2022,83953.78906,85568.38803,83799.63083,85385.01849,7733
9/5/2022,83851.41406,84693.32455,83699.39402,84483.33288,4058
9/6/2022,84850.28125,85479.50991,84008.66615,84374.31667,11784
9/7/2022,84726.46875,85500.4088,84494.28674,84494.28674,5967
9/8/2022,84988.30469,86036.7702,84812.74923,85189.93805,7893
9/9/2022,83805.64063,85579.0783,83611.52582,85428.15455,6406
9/12/2022,85398.23438,85489.49927,83847.38432,84145.95068,8568
9/13/2022,85142.42188,85937.35485,84907.34751,85589.12849,5533
9/14/2022,85660.39844,86030.9629,83349.78987,83349.78987,9618
9/15/2022,92424.65625,93438.33572,85275.67892,86074.69384,66242
9/16/2022,85701.34375,92754.6248,85306.38862,92048.01768,52693
9/19/2022,85940.13281,87181.37578,84195.71223,86882.76278,35699
9/20/2022,85251.66406,86970.4115,84649.10413,86578.29425,17796
9/21/2022,83878.88281,86085.63808,83602.51455,85488.50537,17007
9/22/2022,84107.65625,84792.86621,83001.46763,84195.73335,14055
9/23/2022,82204.42969,84693.33036,81777.23096,84494.28611,16345
9/26/2022,78778.03125,82005.73602,78313.91603,82005.73602,17075
9/27/2022,79449.54688,81057.07785,79070.32096,79320.07482,18319
9/28/2022,80032.40625,80715.12798,78932.43804,79443.53077,15206
9/29/2022,79241.50781,81547.23334,78423.43593,80715.43051,16538
9/30/2022,81264.33594,81738.61326,78645.01482,79697.31351,15688
10/3/2022,80238.98438,81707.68246,79717.23952,81707.68246,9872
10/4/2022,82429.65625,82603.36902,80889.24804,81505.63991,10705
10/6/2022,82046.19531,83455.38208,81859.94119,82840.23422,10841
10/7/2022,82374.10156,82593.35344,81412.11928,82104.74652,8103
10/10/2022,81908.80469,82304.80169,80833.8646,81433.98305,8792
10/11/2022,80693.58594,82685.9257,80349.44152,82318.38581,10869
10/12/2022,82087.54688,82241.15306,80812.11637,81097.09954,8355
10/13/2022,81719.95313,82304.79331,81309.57211,81976.22258,8430
10/14/2022,80961.39844,82802.41007,80623.17093,82593.4136,7118
10/17/2022,81874.8125,82246.12332,80402.97362,81001.05492,8749
10/18/2022,82691.08594,82901.9251,82032.8482,82274.93575,5618
10/19/2022,82752.10938,84096.20243,82105.75977,82707.86868,9220
10/20/2022,83769.55469,84096.18939,82702.87974,82702.87974,12767
10/21/2022,85812.74219,87766.4624,83807.62036,83807.62036,36192
10/24/2022,85879.17969,87511.99562,85479.55171,86901.72285,3801
10/25/2022,86925.45313,87280.8948,85696.1062,86284.67843,14532
10/27/2022,86945.35156,87877.02622,86235.90666,87778.49934,10885
10/28/2022,88941.21875,89122.05354,86881.81074,86942.51923,26116
10/31/2022,90333.24219,90813.93402,88873.29935,88941.22319,16620
11/1/2022,90396.15625,91659.83854,89868.48679,90366.09746,14548
11/2/2022,90187.75,91062.7517,89976.31989,90753.23787,11945
11/3/2022,90224.92969,91061.76316,89868.4927,90142.17858,8267
11/4/2022,90812.09375,91062.74177,90067.52055,90565.13116,6468
11/7/2022,94446.59375,95541.236,90950.73153,91259.79436,28285
11/9/2022,86601.60156,91559.79286,85491.12924,91012.96554,80686
11/10/2022,87050.66406,87925.61133,84693.33463,86601.62487,24162
11/11/2022,85744.67188,88434.10937,85444.81485,88067.12156,17194
11/14/2022,85768.01563,86335.43944,84792.84657,86173.42054,13612
11/15/2022,87155.75781,87430.19008,85768.0228,86196.8621,19773
11/16/2022,87266.98438,87878.05032,86584.51129,87131.63426,9638
11/17/2022,87473.42969,87731.74506,86726.78613,87582.45678,8525
11/18/2022,87674.75781,87975.47274,86994.99822,87581.49925,6997
11/21/2022,88674.46094,88972.83536,86806.16463,87881.04033,11462
11/22/2022,88534.13281,89373.92613,88080.09423,88582.69816,9016
11/23/2022,88550.98438,89228.6054,88265.15176,88886.19098,6407
11/24/2022,88980.45313,89174.87781,88266.41185,88775.78042,6000
11/25/2022,89478.03125,89959.13611,88578.71701,88940.98993,9260
11/28/2022,91099.5,91532.63823,89503.35925,89572.98047,13196
11/29/2022,92125.95313,92359.69038,91464.00728,91563.48616,11792
11/30/2022,93113.65625,93656.97241,91831.22298,92359.70361,17300
